Bar Name,Brand Name,mean_daily_usage,std_daily_usage,total_days,lead_time_demand,safety_stock,recommended_par_level_ml,par_bottles_750ml
Anderson's Bar,Absolut,190.05666666666667,174.3580250406572,69,570.1700000000001,498.29498082834493,1069.0,2
Anderson's Bar,Bacardi,350.89824324324326,166.08885235004098,74,1052.6947297297297,474.6626458877762,1528.0,3
Anderson's Bar,Barefoot,337.370375,165.99973497343302,80,1012.1111250000001,474.4079587779745,1487.0,2
Anderson's Bar,Budweiser,209.63104166666668,194.49102560097052,48,628.893125,555.8327576291492,1185.0,2
Anderson's Bar,Captain Morgan,370.77849315068494,195.96080930940727,73,1112.3354794520549,560.0332287267458,1673.0,3
Anderson's Bar,Coors,357.9881666666667,147.28015842629122,60,1073.9645,420.9095836128643,1495.0,2
Anderson's Bar,Grey Goose,353.32882352941175,155.4223524957452,68,1059.9864705882353,444.17902840494173,1505.0,3
Anderson's Bar,Heineken,290.2285,205.09179702315362,60,870.6855,586.128530888514,1457.0,2
Anderson's Bar,Jack Daniels,264.8681481481481,196.67975884741614,81,794.6044444444444,562.0879029877965,1357.0,2
Anderson's Bar,Jameson,316.672602739726,186.46726570058857,73,950.017808219178,532.9017839340769,1483.0,2
Anderson's Bar,Jim Beam,323.60675000000003,191.02991605978926,80,970.8202500000001,545.9413086289351,1517.0,3
Anderson's Bar,Malibu,222.86491803278687,205.30411327770125,61,668.5947540983607,586.7353060797602,1256.0,2
Anderson's Bar,Miller,324.6482142857143,222.2698493118599,56,973.9446428571429,635.2214087980524,1610.0,3
Anderson's Bar,Smirnoff,340.95438356164385,183.50605500898857,73,1022.8631506849315,524.4389877739607,1548.0,3
Anderson's Bar,Sutter Home,367.9958064516129,211.22056399474224,62,1103.9874193548387,603.6438349297075,1708.0,3
Anderson's Bar,Yellow Tail,235.23845238095237,230.7577534443523,84,705.7153571428571,659.4788527900158,1366.0,2
Brown's Bar,Absolut,305.9705,186.85272194898786,60,917.9115,534.003373114509,1452.0,2
Brown's Bar,Bacardi,300.2678205128205,156.89755241026228,78,900.8034615384615,448.39497839032873,1350.0,2
Brown's Bar,Barefoot,320.7703333333333,165.78332149113425,60,962.3109999999999,473.7894741857803,1437.0,2
Brown's Bar,Budweiser,340.7446938775511,168.4880012184602,49,1022.2340816326532,481.51913465056487,1504.0,3
Brown's Bar,Captain Morgan,241.72297297297297,186.41992822017627,74,725.168918918919,532.7664989141359,1258.0,2
Brown's Bar,Coors,304.97847826086957,258.12128034849036,46,914.9354347826087,737.6806339292202,1653.0,3
Brown's Bar,Grey Goose,339.91829268292685,198.46737175508238,82,1019.7548780487805,567.196693015364,1587.0,3
Brown's Bar,Heineken,342.76192982456143,164.26666483668077,57,1028.2857894736844,469.45504565358135,1498.0,2
Brown's Bar,Jack Daniels,224.62333333333333,206.01882801624888,84,673.87,588.7778777758969,1263.0,2
Brown's Bar,Jameson,345.11782608695654,180.36735682611723,69,1035.3534782608697,515.4689529820713,1551.0,3
Brown's Bar,Jim Beam,317.0344,186.77388949729013,75,951.1032,533.7780791253266,1485.0,2
Brown's Bar,Malibu,284.43328358208953,198.69398398258792,67,853.2998507462686,567.8443244365963,1422.0,2
Brown's Bar,Miller,270.1788524590164,196.8648720747166,61,810.5365573770492,562.6169350872783,1374.0,2
Brown's Bar,Smirnoff,231.11202702702704,198.9115412051347,74,693.3360810810811,568.4660777055539,1262.0,2
Brown's Bar,Sutter Home,271.51210526315793,179.4853547252313,76,814.5363157894737,512.9482934377284,1328.0,2
Brown's Bar,Yellow Tail,336.2344318181818,191.55238408917853,88,1008.7032954545455,547.4344615631189,1557.0,3
Johnson's Bar,Absolut,317.93060975609757,159.61530057036143,82,953.7918292682928,456.1619869178519,1410.0,2
Johnson's Bar,Bacardi,283.50863636363636,192.31886296449974,66,850.5259090909091,549.6249691488435,1401.0,2
Johnson's Bar,Barefoot,320.10333333333335,187.14468535040467,69,960.3100000000001,534.8377705990964,1496.0,2
Johnson's Bar,Budweiser,372.02250000000004,185.4450070365981,52,1116.0675,529.9802874256371,1647.0,3
Johnson's Bar,Captain Morgan,286.05717171717174,176.07440239760658,99,858.1715151515152,503.2001879272201,1362.0,2
Johnson's Bar,Coors,331.23694915254237,183.14598451973836,59,993.7108474576271,523.4099481441763,1518.0,3
Johnson's Bar,Grey Goose,334.92907894736845,188.15015060798385,76,1004.7872368421054,537.7112735028611,1543.0,3
Johnson's Bar,Heineken,325.4311666666666,165.27845491151544,60,976.2934999999999,472.3466241503238,1449.0,2
Johnson's Bar,Jack Daniels,345.50163636363635,188.22707821458275,55,1036.504909090909,537.931123666032,1575.0,3
Johnson's Bar,Jameson,245.95305555555555,182.75328831660482,72,737.8591666666666,522.2876680141613,1261.0,2
