Bar Name,Brand Name,Par Level (ml),Total Demand (ml),Lost Sales (ml),Stockout Days,Days Simulated,Service Level
Anderson's Bar,Absolut,1069,13113.91,1.079999999999984,1,69,0.9855072463768116
Anderson's Bar,Bacardi,1528,25966.47,0.0,0,74,1.0
Anderson's Bar,Barefoot,1487,26989.629999999994,1091.59,3,80,0.9625
Anderson's Bar,Budweiser,1185,10062.289999999999,285.9,1,48,0.9791666666666666
Anderson's Bar,Captain Morgan,1673,27066.829999999994,272.29,1,73,0.9863013698630136
Anderson's Bar,Coors,1495,21479.290000000005,592.74,3,60,0.95
Anderson's Bar,Grey Goose,1505,24026.360000000008,4.029999999999973,1,68,0.9852941176470589
Anderson's Bar,Heineken,1457,17413.710000000003,51.620000000000005,1,60,0.9833333333333333
Anderson's Bar,Jack Daniels,1357,21454.320000000003,461.96000000000004,2,81,0.9753086419753086
Anderson's Bar,Jameson,1483,23117.099999999995,2.75,1,73,0.9863013698630136
Anderson's Bar,Jim Beam,1517,25888.54,1166.77,5,80,0.9375
Anderson's Bar,Malibu,1256,13594.759999999998,56.16999999999996,1,61,0.9836065573770492
Anderson's Bar,Miller,1610,18180.3,0.0,0,56,1.0
Anderson's Bar,Smirnoff,1548,24889.669999999995,0.0,0,73,1.0
Anderson's Bar,Sutter Home,1708,22815.739999999998,0.0,0,62,1.0
Anderson's Bar,Yellow Tail,1366,19760.030000000002,203.39,1,84,0.9880952380952381
Brown's Bar,Absolut,1452,18358.229999999992,0.0,0,60,1.0
Brown's Bar,Bacardi,1350,23420.890000000007,310.58000000000004,2,78,0.9743589743589743
Brown's Bar,Barefoot,1437,19246.219999999998,65.23000000000002,1,60,0.9833333333333333
Brown's Bar,Budweiser,1504,16696.49,86.96000000000004,1,49,0.9795918367346939
Brown's Bar,Captain Morgan,1258,17887.5,353.32,3,74,0.9594594594594594
Brown's Bar,Coors,1653,14029.01,47.27999999999997,1,46,0.9782608695652174
Brown's Bar,Grey Goose,1587,27873.300000000003,524.55,5,82,0.9390243902439024
Brown's Bar,Heineken,1498,19537.43,0.01999999999998181,1,57,0.9824561403508771
Brown's Bar,Jack Daniels,1263,18868.359999999993,745.1700000000001,4,84,0.9523809523809523
Brown's Bar,Jameson,1551,23813.13,845.39,3,69,0.9565217391304348
Brown's Bar,Jim Beam,1485,23777.580000000005,523.45,2,75,0.9733333333333334
Brown's Bar,Malibu,1422,19057.030000000002,496.5400000000001,3,67,0.9552238805970149
Brown's Bar,Miller,1374,16480.91,34.60000000000002,1,61,0.9836065573770492
Brown's Bar,Smirnoff,1262,17102.29,391.87,2,74,0.972972972972973
Brown's Bar,Sutter Home,1328,20634.920000000006,509.47,3,76,0.9605263157894737
Brown's Bar,Yellow Tail,1557,29588.629999999994,691.4100000000001,4,88,0.9545454545454546
Johnson's Bar,Absolut,1410,26070.31,433.78000000000003,4,82,0.9512195121951219
Johnson's Bar,Bacardi,1401,18711.57,202.92000000000002,1,66,0.9848484848484849
Johnson's Bar,Barefoot,1496,22087.12999999999,599.6499999999999,2,69,0.9710144927536232
Johnson's Bar,Budweiser,1647,19345.170000000006,21.170000000000073,1,52,0.9807692307692307
Johnson's Bar,Captain Morgan,1362,28319.66,1567.87,7,99,0.9292929292929293
Johnson's Bar,Coors,1518,19542.980000000003,338.17999999999995,2,59,0.9661016949152542
Johnson's Bar,Grey Goose,1543,25454.61,633.3900000000001,7,76,0.9078947368421053
Johnson's Bar,Heineken,1449,19525.87,33.93000000000001,1,60,0.9833333333333333
